<MATCH_ID> 34512 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 34512 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('O', 'OH', 'MB', 'S', 'OH', 'MB')
<MATCH_ID> 34512 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33725 <TEAM> Allianz Milano <SET> 0 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 33725 <TEAM> Allianz Milano <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33763 <TEAM> Gas Sales Bluenergy Piacenza <SET> 3 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33772 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33772 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33772 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 34520 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33678 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33678 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33678 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33678 <TEAM> Sir Safety Conad Perugia <SET> 3 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 33748 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
